"variable","E","k","rho","mae","rmse"
"green_density",5,13,0.564006212743127,0.102526228589836,0.164083294900098
"green_density",5,14,0.566257962993787,0.102522449865287,0.163807935958752
"green_density",5,15,0.567360469512889,0.102643605653425,0.163683601397515
"green_density",5,16,0.567421778730788,0.102881348636134,0.163719470051634
"green_density",5,17,0.566922993539472,0.103166638029601,0.163799520828524
"green_density",6,4,0.657502534473839,0.0900781677743712,0.150995983413963
"green_density",6,5,0.662192002068947,0.0901758707400268,0.149299315202439
"green_density",6,6,0.665993874924148,0.0898200955713441,0.14836100795622
"green_density",6,7,0.665653591017791,0.0901580293219988,0.148303401166652
"green_density",6,8,0.663422979370564,0.0909324617866547,0.148673194715785
"green_density",6,9,0.666954478310323,0.0910118893856284,0.148088788403971
"green_density",6,10,0.667592037785408,0.0916776746286396,0.14804696704887
"green_density",6,11,0.66633122942582,0.0921362003032183,0.148352148822501
"green_density",6,12,0.663769079918433,0.0927883424669256,0.148907745325959
"green_density",6,13,0.658983263024135,0.0935691703810445,0.149779725722087
"green_density",6,14,0.658005249900893,0.0937965656856006,0.150027562031888
"green_density",6,15,0.653511028555201,0.094541219615899,0.150850836508967
"green_density",6,16,0.652509108581904,0.0949023087527252,0.151109987658256
"green_density",6,17,0.649860940826982,0.0955178831288213,0.151636188655026
"green_density",7,4,0.732695847868733,0.0789203322934848,0.135607948762284
"green_density",7,5,0.735453180002528,0.0796401285066138,0.134723938282636
"green_density",7,6,0.736268499854059,0.0800888786514448,0.134473479756362
"green_density",7,7,0.735119923545803,0.0808991917037568,0.134730826873511
"green_density",7,8,0.735662113482493,0.0815317543357151,0.134731225764958
"green_density",7,9,0.732845404178116,0.0826510134610463,0.135457432549667
"green_density",7,10,0.730725088940081,0.0836597166200301,0.136043827298558
"green_density",7,11,0.727411862220362,0.0845052551159623,0.136837513776064
"green_density",7,12,0.724573616937065,0.0851589548620722,0.137578305443415
"green_density",7,13,0.722037584902912,0.0858706203816848,0.138212452722449
"green_density",7,14,0.719382399130006,0.086719602447313,0.138864631433091
"green_density",7,15,0.714738694485242,0.0876028408185229,0.139896011460426
"green_density",7,16,0.715450833728897,0.0877661661635336,0.139920027703399
"green_density",7,17,0.714017750991123,0.0882996890860494,0.14038848020384
"green_density",8,4,0.79625223621806,0.0698167925430467,0.120323539707139
"green_density",8,5,0.793326541891114,0.0711568922124134,0.120990837105184
"green_density",8,6,0.790976385199137,0.0718550658635594,0.121635587851506
"green_density",8,7,0.788149993730432,0.073136083475415,0.122492429598386
"green_density",8,8,0.785313109964865,0.0744023270743904,0.123364196256905
"green_density",8,9,0.778146949250893,0.0759222197390001,0.125212073452693
"green_density",8,10,0.774125042581595,0.0770845873407834,0.126266166203102
"green_density",8,11,0.773172435858065,0.0776892776632025,0.126624134196472
"green_density",8,12,0.766267218700012,0.0788454580056676,0.128313553991541
"green_density",8,13,0.764115540135049,0.0797145574632575,0.128978976409277
